Vincent Baloyi, 1954-
Ricky Burnett, 1949-
Nils Burwitz, 1940-
Anton van Wouw, 1862-1945
Wendy Anziska, 1945-
Thomas Baines, 1820-1875
Jane Alexander, 1959-
Kenneth Bakker, 1926-1988
Maggie Laubser, 1886-1973
Jodi Bieber, 1966-
Bill Ainslie, 1934-1989
Juliet Armstrong, 1950-2012
Wim Blom, 1927-
Zoltan Borbereki, 1907-1992
Esias Bosch, 1923-2010
Kim Berman, 1960-
Regi Bardavid, 1945-
Vladimir Tretchikoff, 1913-2006
Robert Broadley, 1908-1988
Adriaan Boshoff, 1935-2007
Wayne Barker, 1963-
Beth Diane Armstrong, 1985-
Mel Brigg, 1950-
Alexis Preller, 1911-1975
Geoffrey Armstrong, 1945-
Zander Blom, 1982-
Jan-Henri Booyens, 1981-
Conrad Botes and Brett Murray, 1969- and 1961-
Erik Laubscher, 1927-2013
Omar Badsha, 1945-
Kevin Atkinson, 1939-2007
Sanell Aggenbach, 1976-
Errol Boyley, 1918-2007
Willem Boshoff, 1951-
Armando Baldinelli, 1908-2002
Giuseppe Bottero,Italian/ 1911-2004
John Henry Amshewitz, 1882-1942
Nils Andersen, 1897-1972
Breyten Breytenbach, 1939-
Keith Alexander, 1946-1998
Johannes Blatt, 1905-1972
Paul Blomkamp, 1949-
Lionel Abrams, 1931-1997
Peter Gerd Bilas, 1952-
Roger Ballen, 1950-
Raymond Hillary Andrews, 1948-
Gerhard Batha, 1937-
Conrad Botes and Anton Kannemeyer, 20th Century
Deborah Bell, 1957-
Claude Bouscharain, 1922-
Hardy Botha, 1947-
Candice Breitz, 1972-
Robert Hodgins, 1920-2010
William Kentridge, 1955-
Anna Alcock, 1976-
William Burchell, 1781-1863
Willie Bester, 1956-
David Brown, 1951-2016
Walter Battiss, 1906-1982
Stefan Ampenberger, 1908-1983
David Botha, 1921-1995
Jacob Hendrik Pierneef, 1886-1957
Rauri Alcock, 1966-
Lisa Brice, 1968-
Doris Bloom, 1954-
Kenneth Baker, 1931-1995
Ennie Coex'ae Bob, c.1940
Diamond Bozas, 1923-2019
Irma Stern, 1894-1966
Bruce Arnott, 1938-2018
Philip Bawcombe, 1906-2000
Wim Botha, 1974-
Joni Brenner,Zimbabwean/ 1969-
Albert Adams, 1929-2006
Beezy Bailey, 1962-
Carl Büchner, 1921-2003
Gregoire Boonzaier, 1909-2005
George Boys, 1930-2014
Walter Battiss and Norman Catherine,
Phillip Badenhorst, 1957-
Brian Bradshaw, 1923-2016
Jake Aikman, 1978-
Conrad Botes, 1969-
Noel Bisseker, 1939-
Thomas Bowler, 1812-1869
Iris Ampenberger, 1916-1981
Bonita Kim Alice, 1962-
Sidney Beck, 1936-
Barbara Grace Burry, 1909-2010
Carola Brotherton, 1940-
Scott Bredin, 1973-
Marion Arnold, 1947-
Cecil Skotnes, 1926-2009
Carl Becker, 1956-
Bruce Backhouse, 1950-
Gerard Bhengu, 1910-1990
Bevan de Wet, 1985-
Arthur Elliott, 1870-1938
Steven Cohen, 1962-
Gavin Doyle, 1938-
Rorke's Drift, 20th Century
Frans Claerhout, 1919-2006
Paul Emmanuel, 1969-
Joan Cundall-Allen, 1922 - 2016
Richard Cheales, 1922-1988
Anton van Wouw, 1862-1945
Normand Robertson Dunn, 1917-1988
Norman Catherine, 1949-
Fanie Eloff, 1885-1947
Laurence Anthony Chait, 1943-
Maggie Laubser, 1886-1973
Gabriel de Jongh, 1913-2004
Arend Eloff, 1964 -
George Enslin, 1919-1972
Vladimir Tretchikoff, 1913-2006
Marlene Dumas,/Dutch 1953-
Fleur Ferri, 1929-2004
Barend de Wet, 1956 - 2017
Alexis Preller, 1911-1975
Michael Costello, 1948-
Eleanor Esmonde-White, 1914-2007
Alice Elahi, 1926-
Richard John Forbes, 1970-
Bronwen Findlay, 1953-
Elsa Hermine Dziomba, 1906-1970
Erik Laubscher, 1927-2013
Paul Johan du Toit, 1965-2014
